# CSV-File created with merge-csv.com
# -----------------------------------------------------------

name,authors,journal,year,publisher,cited_by_papers,abstract
"A New Measurement Technique for Tracking Voltage Phasors, Local System Frequency, and Rate of Change of Frequency",A. G. Phadke J. S. Thorp M G. Adamiak,IEEE Transactions on Power Apparatus and Systems,1983,IEEE,649,"With the advent of Substation Computer Systems dedicated to protection, control and data logging functions in a Substation, it becomes possible to develop new applications which can utilize the processing power available within the substation. The microcomputer based Symmetrical Component Distance Relay (SCDR) described in the references cited at the end of this paper possesses certain characteris..."
Evolution and Modern Approaches for Thermal Analysis of Electrical Machines,Aldo Boglietti Andrea Cavagnino David Staton Martin Shanel Markus Mueller Carlos Mejuto,IEEE Transactions on Industrial Electronics,2009,IEEE,649,"In this paper, the authors present an extended survey on the evolution and the modern approaches in the thermal analysis of electrical machines. The improvements and the new techniques proposed in the last decade are analyzed in depth and compared in order to highlight the qualities and defects of each. In particular, thermal analysis based on lumped-parameter thermal network, finite-element analy..."
Steganalysis by Subtractive Pixel Adjacency Matrix,Tomáš Pevny Patrick Bas Jessica Fridrich,IEEE Transactions on Information Forensics and Security,2010,IEEE,649,"This paper presents a method for detection of steganographic methods that embed in the spatial domain by adding a low-amplitude independent stego signal, an example of which is least significant bit (LSB) matching. First, arguments are provided for modeling the differences between adjacent pixels using first-order and second-order Markov chains. Subsets of sample transition probability matrices ar..."
"Cooperative Spectrum Sensing in Cognitive Radio, Part I: Two User Networks",Ghurumuruhan Ganesan Ye Li,IEEE Transactions on Wireless Communications,2007,IEEE,649,"In cognitive radio networks, cognitive (unlicensed) users need to continuously monitor spectrum for the presence of primary (licensed) users. In this paper, we illustrate the benefits of cooperation in cognitive radio. We show that by allowing the cognitive users operating in the same band to cooperate we can reduce the detection time and thus increase the overall agility. We first consider a two-..."
Proportionate normalized least-mean-squares adaptation in echo cancelers,D.L. Duttweiler,IEEE Transactions on Speech and Audio Processing,2000,IEEE,649,"On typical echo paths, the proportionate normalized least-mean-squares (PNLMS) adaptation algorithm converges significantly faster than the normalized least-mean-squares (NLMS) algorithm generally used in echo cancelers to date. In PNLMS adaptation, the adaptation gain at each tap position varies from position to position and is roughly proportional at each tap position to the absolute value of th..."
Robust Recovery of Signals From a Structured Union of Subspaces,Yonina C. Eldar Moshe Mishali,IEEE Transactions on Information Theory,2009,IEEE,652,"Traditional sampling theories consider the problem of reconstructing an unknown signal x from a series of samples. A prevalent assumption which often guarantees recovery from the given measurements is that x lies in a known subspace. Recently, there has been growing interest in nonlinear but structured signal models, in which x lies in a union of subspaces. In this paper, we develop a general fram..."
Physical modeling of spiral inductors on silicon,C.P. Yue S.S. Wong,IEEE Transactions on Electron Devices,2000,IEEE,652,"This paper presents a physical model for planar spiral inductors on silicon, which accounts for eddy current effect in the conductor, crossover capacitance between the spiral and center-tap, capacitance between the spiral and substrate, substrate ohmic loss, and substrate capacitance. The model has been confirmed with measured results of inductors having a wide range of layout and process paramete..."
Decentralized Charging Control of Large Populations of Plug-in Electric Vehicles,Zhongjing Ma Duncan S. Callaway Ian A. Hiskens,IEEE Transactions on Control Systems Technology,2013,IEEE,652,"This paper develops a strategy to coordinate the charging of autonomous plug-in electric vehicles (PEVs) using concepts from non-cooperative games. The foundation of the paper is a model that assumes PEVs are cost-minimizing and weakly coupled via a common electricity price. At a Nash equilibrium, each PEV reacts optimally with respect to a commonly observed charging trajectory that is the average..."
"Collective Motion, Sensor Networks, and Ocean Sampling",Naomi Ehrich Leonard Derek A. Paley Francois Lekien Rodolphe Sepulchre David M. Fratantoni Russ E. Davis,Proceedings of the IEEE,2007,IEEE,652,"This paper addresses the design of mobile sensor networks for optimal data collection. The development is strongly motivated by the application to adaptive ocean sampling for an autonomous ocean observing and prediction system. A performance metric, used to derive optimal paths for the network of mobile sensors, defines the optimal data set as one which minimizes error in a model estimate of the s..."
Quantum-mechanical modeling of electron tunneling current from the inversion layer of ultra-thin-oxide nMOSFET's,S.-H. Lo D.A. Buchanan Y. Taur W. Wang,IEEE Electron Device Letters,1997,IEEE,652,"Quantum-mechanical modeling of electron tunneling current from the quantized inversion layer of ultra-thin-oxide (&lt;40 /spl Aring/) nMOSFET's is presented, together with experimental verification. An accurate determination of the physical oxide thickness is achieved by fitting experimentally measured capacitance-versus-voltage curves to quantum-mechanically simulated capacitance-versus-voltage resu..."
Unsupervised classification using polarimetric decomposition and the complex Wishart classifier,Jong-Sen Lee M.R. Grunes T.L. Ainsworth Li-Jen Du D.L. Schuler S.R. Cloude,IEEE Transactions on Geoscience and Remote Sensing,1999,IEEE,651,"The authors propose a new method for unsupervised classification of terrain types and man-made objects using polarimetric synthetic aperture radar (SAR) data. This technique is a combination of the unsupervised classification based on polarimetric target decomposition, S.R. Cloude et al. (1997), and the maximum likelihood classifier based on the complex Wishart distribution for the polarimetric co..."
Parallel mining of association rules,R. Agrawal J.C. Shafer,IEEE Transactions on Knowledge and Data Engineering,1996,IEEE,651,"We consider the problem of mining association rules on a shared nothing multiprocessor. We present three algorithms that explore a spectrum of trade-offs between computation, communication, memory usage, synchronization, and the use of problem specific information. The best algorithm exhibits near perfect scaleup behavior, yet requires only minimal overhead compared to the current best serial algo..."
Power semiconductor device figure of merit for high-frequency applications,B.J. Baliga,IEEE Electron Device Letters,1989,IEEE,651,"A figure of merit (the Baliga high-frequency figure of merit) is derived for power semiconductor devices operating in high-frequency circuits. Using this figure of merit, it is predicted that the power losses incurred in the power device will increase as the square root of the operating frequency and approximately in proportion to the output power. By relating the device power dissipation to the i..."
New approaches to relaxed quadratic stability condition of fuzzy control systems,Euntai Kim Heejin Lee,IEEE Transactions on Fuzzy Systems,2000,IEEE,651,This paper deals with the quadratic stability conditions of fuzzy control systems that relax the existing conditions reported in the previous literatures. Two new conditions are proposed and shown to be useful in analyzing and designing fuzzy control systems. The first one employs the S-procedure to utilize information regarding the premise parts of the fuzzy systems. The next one enlarges the cla...
Input feature selection for classification problems,N. Kwak Chong-Ho Choi,IEEE Transactions on Neural Networks,2002,IEEE,651,"Feature selection plays an important role in classifying systems such as neural networks (NNs). We use a set of attributes which are relevant, irrelevant or redundant and from the viewpoint of managing a dataset which can be huge, reducing the number of attributes by selecting only the relevant ones is desirable. In doing so, higher performances with lower computational effort is expected. In this..."
State of the Art in 60-GHz Integrated Circuits and Systems for Wireless Communications,Theodore S. Rappaport James N. Murdock Felix Gutierrez,Proceedings of the IEEE,2011,IEEE,651,"This tutorial presents an overview of the technological advances in millimeter-wave (mm-wave) circuit components, antennas, and propagation that will soon allow 60-GHz transceivers to provide multigigabit per second (multi-Gb/s) wireless communication data transfers in the consumer marketplace. Our goal is to help engineers understand the convergence of communications, circuits, and antennas, as t..."
Multilevel codes: theoretical concepts and practical design rules,U. Wachsmann R.F.H. Fischer J.B. Huber,IEEE Transactions on Information Theory,1999,IEEE,651,"This paper deals with 2/sup l/-ary transmission using multilevel coding (MLC) and multistage decoding (MSD). The known result that MLC and MSD suffice to approach capacity if the rates at each level are appropriately chosen is reviewed. Using multiuser information theory, it is shown that there is a large space of rate combinations such that MLC and full maximum-likelihood decoding (MLD) can appro..."
Reconfiguration of electric distribution networks for resistive line losses reduction,D. Shirmohammadi H.W. Hong,IEEE Transactions on Power Delivery,1989,IEEE,651,The authors describe a heuristic method for the reconfiguration of distribution networks in order to reduce their resistive line losses under normal operating conditions. The proposed approach is characterized by convergence to the optimum or a near-optimum solution and the independence of the final solution from the initial status of the network switches. The methodology has been implemented in a...
"Constant power loads and negative impedance instability in automotive systems: definition, modeling, stability, and control of power electronic converters and motor drives",A. Emadi A. Khaligh C.H. Rivetta G.A. Williamson,IEEE Transactions on Vehicular Technology,2006,IEEE,651,"Power electronic converters and electric motor drives are being put into use at an increasingly rapid rate in advanced automobiles. However, the new advanced automotive electrical systems employ multivoltage level hybrid ac and dc as well as electromechanical systems that have unique characteristics, dynamics, and stability problems that are not well understood due to the nonlinearity and time dep..."
Day-ahead electricity price forecasting using the wavelet transform and ARIMA models,A.J. Conejo M.A. Plazas R. Espinola A.B. Molina,IEEE Transactions on Power Systems,2005,IEEE,650,"This paper proposes a novel technique to forecast day-ahead electricity prices based on the wavelet transform and ARIMA models. The historical and usually ill-behaved price series is decomposed using the wavelet transform in a set of better-behaved constitutive series. Then, the future values of these constitutive series are forecast using properly fitted ARIMA models. In turn, the ARIMA forecasts..."
Long-Term Recurrent Convolutional Networks for Visual Recognition and Description,Jeff Donahue Lisa Anne Hendricks Marcus Rohrbach Subhashini Venugopalan Sergio Guadarrama Kate Saenko Trevor Darrell,IEEE Transactions on Pattern Analysis and Machine Intelligence,2017,IEEE,650,"Models based on deep convolutional networks have dominated recent image interpretation tasks; we investigate whether models which are also recurrent are effective for tasks involving sequences, visual and otherwise. We describe a class of recurrent convolutional architectures which is end-to-end trainable and suitable for large-scale visual understanding tasks, and demonstrate the value of these m..."
Ridethrough of wind turbines with doubly-fed induction generator during a voltage dip,J. Morren S.W.H. de Haan,IEEE Transactions on Energy Conversion,2005,IEEE,650,"In this paper, a solution is described that makes it possible for wind turbines using doubly-fed induction generators to stay connected to the grid during grid faults. The key of the solution is to limit the high current in the rotor in order to protect the converter and to provide a bypass for this current via a set of resistors that are connected to the rotor windings. With these resistors, it i..."
Improved wavelet-based watermarking through pixel-wise masking,M. Barni F. Bartolini A. Piva,IEEE Transactions on Image Processing,2001,IEEE,650,"A watermarking algorithm operating in the wavelet domain is presented. Performance improvement with respect to existing algorithms is obtained by means of a new approach to mask the watermark according to the characteristics of the human visual system (HVS). In contrast to conventional methods operating in the wavelet domain, masking is accomplished pixel by pixel by taking into account the textur..."
High Power Fiber Lasers: A Review,Michalis N. Zervas Christophe A. Codemard,IEEE Journal of Selected Topics in Quantum Electronics,2014,IEEE,649,"In this paper, we summarize the fundamental properties and review the latest developments in high power fiber lasers. The review is focused primarily on the most common fiber laser configurations and the associated cladding pumping issues. Special attention is placed on pump combination techniques and the parameters that affect the brightness enhancement observed in single-mode and multimode high ..."
Proper complex random processes with applications to information theory,F.D. Neeser J.L. Massey,IEEE Transactions on Information Theory,1993,IEEE,649,"The covariance of complex random variables and processes, when defined consistently with the corresponding notion for real random variables, is shown to be determined by the usual complex covariance together with a quantity called the pseudo-covariance. A characterization of uncorrelatedness and wide-sense stationarity in terms of covariance and pseudo-covariance is given. Complex random variables..."
"A New Measurement Technique for Tracking Voltage Phasors, Local System Frequency, and Rate of Change of Frequency",A. G. Phadke J. S. Thorp M G. Adamiak,IEEE Transactions on Power Apparatus and Systems,1983,IEEE,649,"With the advent of Substation Computer Systems dedicated to protection, control and data logging functions in a Substation, it becomes possible to develop new applications which can utilize the processing power available within the substation. The microcomputer based Symmetrical Component Distance Relay (SCDR) described in the references cited at the end of this paper possesses certain characteris..."
Evolution and Modern Approaches for Thermal Analysis of Electrical Machines,Aldo Boglietti Andrea Cavagnino David Staton Martin Shanel Markus Mueller Carlos Mejuto,IEEE Transactions on Industrial Electronics,2009,IEEE,649,"In this paper, the authors present an extended survey on the evolution and the modern approaches in the thermal analysis of electrical machines. The improvements and the new techniques proposed in the last decade are analyzed in depth and compared in order to highlight the qualities and defects of each. In particular, thermal analysis based on lumped-parameter thermal network, finite-element analy..."
Steganalysis by Subtractive Pixel Adjacency Matrix,Tomáš Pevny Patrick Bas Jessica Fridrich,IEEE Transactions on Information Forensics and Security,2010,IEEE,649,"This paper presents a method for detection of steganographic methods that embed in the spatial domain by adding a low-amplitude independent stego signal, an example of which is least significant bit (LSB) matching. First, arguments are provided for modeling the differences between adjacent pixels using first-order and second-order Markov chains. Subsets of sample transition probability matrices ar..."
"Cooperative Spectrum Sensing in Cognitive Radio, Part I: Two User Networks",Ghurumuruhan Ganesan Ye Li,IEEE Transactions on Wireless Communications,2007,IEEE,649,"In cognitive radio networks, cognitive (unlicensed) users need to continuously monitor spectrum for the presence of primary (licensed) users. In this paper, we illustrate the benefits of cooperation in cognitive radio. We show that by allowing the cognitive users operating in the same band to cooperate we can reduce the detection time and thus increase the overall agility. We first consider a two-..."
Proportionate normalized least-mean-squares adaptation in echo cancelers,D.L. Duttweiler,IEEE Transactions on Speech and Audio Processing,2000,IEEE,649,"On typical echo paths, the proportionate normalized least-mean-squares (PNLMS) adaptation algorithm converges significantly faster than the normalized least-mean-squares (NLMS) algorithm generally used in echo cancelers to date. In PNLMS adaptation, the adaptation gain at each tap position varies from position to position and is roughly proportional at each tap position to the absolute value of th..."
Robust Recovery of Signals From a Structured Union of Subspaces,Yonina C. Eldar Moshe Mishali,IEEE Transactions on Information Theory,2009,IEEE,652,"Traditional sampling theories consider the problem of reconstructing an unknown signal x from a series of samples. A prevalent assumption which often guarantees recovery from the given measurements is that x lies in a known subspace. Recently, there has been growing interest in nonlinear but structured signal models, in which x lies in a union of subspaces. In this paper, we develop a general fram..."
Physical modeling of spiral inductors on silicon,C.P. Yue S.S. Wong,IEEE Transactions on Electron Devices,2000,IEEE,652,"This paper presents a physical model for planar spiral inductors on silicon, which accounts for eddy current effect in the conductor, crossover capacitance between the spiral and center-tap, capacitance between the spiral and substrate, substrate ohmic loss, and substrate capacitance. The model has been confirmed with measured results of inductors having a wide range of layout and process paramete..."
Decentralized Charging Control of Large Populations of Plug-in Electric Vehicles,Zhongjing Ma Duncan S. Callaway Ian A. Hiskens,IEEE Transactions on Control Systems Technology,2013,IEEE,652,"This paper develops a strategy to coordinate the charging of autonomous plug-in electric vehicles (PEVs) using concepts from non-cooperative games. The foundation of the paper is a model that assumes PEVs are cost-minimizing and weakly coupled via a common electricity price. At a Nash equilibrium, each PEV reacts optimally with respect to a commonly observed charging trajectory that is the average..."
"Collective Motion, Sensor Networks, and Ocean Sampling",Naomi Ehrich Leonard Derek A. Paley Francois Lekien Rodolphe Sepulchre David M. Fratantoni Russ E. Davis,Proceedings of the IEEE,2007,IEEE,652,"This paper addresses the design of mobile sensor networks for optimal data collection. The development is strongly motivated by the application to adaptive ocean sampling for an autonomous ocean observing and prediction system. A performance metric, used to derive optimal paths for the network of mobile sensors, defines the optimal data set as one which minimizes error in a model estimate of the s..."
Quantum-mechanical modeling of electron tunneling current from the inversion layer of ultra-thin-oxide nMOSFET's,S.-H. Lo D.A. Buchanan Y. Taur W. Wang,IEEE Electron Device Letters,1997,IEEE,652,"Quantum-mechanical modeling of electron tunneling current from the quantized inversion layer of ultra-thin-oxide (&lt;40 /spl Aring/) nMOSFET's is presented, together with experimental verification. An accurate determination of the physical oxide thickness is achieved by fitting experimentally measured capacitance-versus-voltage curves to quantum-mechanically simulated capacitance-versus-voltage resu..."
Unsupervised classification using polarimetric decomposition and the complex Wishart classifier,Jong-Sen Lee M.R. Grunes T.L. Ainsworth Li-Jen Du D.L. Schuler S.R. Cloude,IEEE Transactions on Geoscience and Remote Sensing,1999,IEEE,651,"The authors propose a new method for unsupervised classification of terrain types and man-made objects using polarimetric synthetic aperture radar (SAR) data. This technique is a combination of the unsupervised classification based on polarimetric target decomposition, S.R. Cloude et al. (1997), and the maximum likelihood classifier based on the complex Wishart distribution for the polarimetric co..."
Parallel mining of association rules,R. Agrawal J.C. Shafer,IEEE Transactions on Knowledge and Data Engineering,1996,IEEE,651,"We consider the problem of mining association rules on a shared nothing multiprocessor. We present three algorithms that explore a spectrum of trade-offs between computation, communication, memory usage, synchronization, and the use of problem specific information. The best algorithm exhibits near perfect scaleup behavior, yet requires only minimal overhead compared to the current best serial algo..."
Power semiconductor device figure of merit for high-frequency applications,B.J. Baliga,IEEE Electron Device Letters,1989,IEEE,651,"A figure of merit (the Baliga high-frequency figure of merit) is derived for power semiconductor devices operating in high-frequency circuits. Using this figure of merit, it is predicted that the power losses incurred in the power device will increase as the square root of the operating frequency and approximately in proportion to the output power. By relating the device power dissipation to the i..."
New approaches to relaxed quadratic stability condition of fuzzy control systems,Euntai Kim Heejin Lee,IEEE Transactions on Fuzzy Systems,2000,IEEE,651,This paper deals with the quadratic stability conditions of fuzzy control systems that relax the existing conditions reported in the previous literatures. Two new conditions are proposed and shown to be useful in analyzing and designing fuzzy control systems. The first one employs the S-procedure to utilize information regarding the premise parts of the fuzzy systems. The next one enlarges the cla...
Input feature selection for classification problems,N. Kwak Chong-Ho Choi,IEEE Transactions on Neural Networks,2002,IEEE,651,"Feature selection plays an important role in classifying systems such as neural networks (NNs). We use a set of attributes which are relevant, irrelevant or redundant and from the viewpoint of managing a dataset which can be huge, reducing the number of attributes by selecting only the relevant ones is desirable. In doing so, higher performances with lower computational effort is expected. In this..."
State of the Art in 60-GHz Integrated Circuits and Systems for Wireless Communications,Theodore S. Rappaport James N. Murdock Felix Gutierrez,Proceedings of the IEEE,2011,IEEE,651,"This tutorial presents an overview of the technological advances in millimeter-wave (mm-wave) circuit components, antennas, and propagation that will soon allow 60-GHz transceivers to provide multigigabit per second (multi-Gb/s) wireless communication data transfers in the consumer marketplace. Our goal is to help engineers understand the convergence of communications, circuits, and antennas, as t..."
Multilevel codes: theoretical concepts and practical design rules,U. Wachsmann R.F.H. Fischer J.B. Huber,IEEE Transactions on Information Theory,1999,IEEE,651,"This paper deals with 2/sup l/-ary transmission using multilevel coding (MLC) and multistage decoding (MSD). The known result that MLC and MSD suffice to approach capacity if the rates at each level are appropriately chosen is reviewed. Using multiuser information theory, it is shown that there is a large space of rate combinations such that MLC and full maximum-likelihood decoding (MLD) can appro..."
Reconfiguration of electric distribution networks for resistive line losses reduction,D. Shirmohammadi H.W. Hong,IEEE Transactions on Power Delivery,1989,IEEE,651,The authors describe a heuristic method for the reconfiguration of distribution networks in order to reduce their resistive line losses under normal operating conditions. The proposed approach is characterized by convergence to the optimum or a near-optimum solution and the independence of the final solution from the initial status of the network switches. The methodology has been implemented in a...
"Constant power loads and negative impedance instability in automotive systems: definition, modeling, stability, and control of power electronic converters and motor drives",A. Emadi A. Khaligh C.H. Rivetta G.A. Williamson,IEEE Transactions on Vehicular Technology,2006,IEEE,651,"Power electronic converters and electric motor drives are being put into use at an increasingly rapid rate in advanced automobiles. However, the new advanced automotive electrical systems employ multivoltage level hybrid ac and dc as well as electromechanical systems that have unique characteristics, dynamics, and stability problems that are not well understood due to the nonlinearity and time dep..."
Day-ahead electricity price forecasting using the wavelet transform and ARIMA models,A.J. Conejo M.A. Plazas R. Espinola A.B. Molina,IEEE Transactions on Power Systems,2005,IEEE,650,"This paper proposes a novel technique to forecast day-ahead electricity prices based on the wavelet transform and ARIMA models. The historical and usually ill-behaved price series is decomposed using the wavelet transform in a set of better-behaved constitutive series. Then, the future values of these constitutive series are forecast using properly fitted ARIMA models. In turn, the ARIMA forecasts..."
Long-Term Recurrent Convolutional Networks for Visual Recognition and Description,Jeff Donahue Lisa Anne Hendricks Marcus Rohrbach Subhashini Venugopalan Sergio Guadarrama Kate Saenko Trevor Darrell,IEEE Transactions on Pattern Analysis and Machine Intelligence,2017,IEEE,650,"Models based on deep convolutional networks have dominated recent image interpretation tasks; we investigate whether models which are also recurrent are effective for tasks involving sequences, visual and otherwise. We describe a class of recurrent convolutional architectures which is end-to-end trainable and suitable for large-scale visual understanding tasks, and demonstrate the value of these m..."
Ridethrough of wind turbines with doubly-fed induction generator during a voltage dip,J. Morren S.W.H. de Haan,IEEE Transactions on Energy Conversion,2005,IEEE,650,"In this paper, a solution is described that makes it possible for wind turbines using doubly-fed induction generators to stay connected to the grid during grid faults. The key of the solution is to limit the high current in the rotor in order to protect the converter and to provide a bypass for this current via a set of resistors that are connected to the rotor windings. With these resistors, it i..."
Improved wavelet-based watermarking through pixel-wise masking,M. Barni F. Bartolini A. Piva,IEEE Transactions on Image Processing,2001,IEEE,650,"A watermarking algorithm operating in the wavelet domain is presented. Performance improvement with respect to existing algorithms is obtained by means of a new approach to mask the watermark according to the characteristics of the human visual system (HVS). In contrast to conventional methods operating in the wavelet domain, masking is accomplished pixel by pixel by taking into account the textur..."
High Power Fiber Lasers: A Review,Michalis N. Zervas Christophe A. Codemard,IEEE Journal of Selected Topics in Quantum Electronics,2014,IEEE,649,"In this paper, we summarize the fundamental properties and review the latest developments in high power fiber lasers. The review is focused primarily on the most common fiber laser configurations and the associated cladding pumping issues. Special attention is placed on pump combination techniques and the parameters that affect the brightness enhancement observed in single-mode and multimode high ..."
Proper complex random processes with applications to information theory,F.D. Neeser J.L. Massey,IEEE Transactions on Information Theory,1993,IEEE,649,"The covariance of complex random variables and processes, when defined consistently with the corresponding notion for real random variables, is shown to be determined by the usual complex covariance together with a quantity called the pseudo-covariance. A characterization of uncorrelatedness and wide-sense stationarity in terms of covariance and pseudo-covariance is given. Complex random variables..."
"A New Measurement Technique for Tracking Voltage Phasors, Local System Frequency, and Rate of Change of Frequency",A. G. Phadke J. S. Thorp M G. Adamiak,IEEE Transactions on Power Apparatus and Systems,1983,IEEE,649,"With the advent of Substation Computer Systems dedicated to protection, control and data logging functions in a Substation, it becomes possible to develop new applications which can utilize the processing power available within the substation. The microcomputer based Symmetrical Component Distance Relay (SCDR) described in the references cited at the end of this paper possesses certain characteris..."
Evolution and Modern Approaches for Thermal Analysis of Electrical Machines,Aldo Boglietti Andrea Cavagnino David Staton Martin Shanel Markus Mueller Carlos Mejuto,IEEE Transactions on Industrial Electronics,2009,IEEE,649,"In this paper, the authors present an extended survey on the evolution and the modern approaches in the thermal analysis of electrical machines. The improvements and the new techniques proposed in the last decade are analyzed in depth and compared in order to highlight the qualities and defects of each. In particular, thermal analysis based on lumped-parameter thermal network, finite-element analy..."
Steganalysis by Subtractive Pixel Adjacency Matrix,Tomáš Pevny Patrick Bas Jessica Fridrich,IEEE Transactions on Information Forensics and Security,2010,IEEE,649,"This paper presents a method for detection of steganographic methods that embed in the spatial domain by adding a low-amplitude independent stego signal, an example of which is least significant bit (LSB) matching. First, arguments are provided for modeling the differences between adjacent pixels using first-order and second-order Markov chains. Subsets of sample transition probability matrices ar..."
"Cooperative Spectrum Sensing in Cognitive Radio, Part I: Two User Networks",Ghurumuruhan Ganesan Ye Li,IEEE Transactions on Wireless Communications,2007,IEEE,649,"In cognitive radio networks, cognitive (unlicensed) users need to continuously monitor spectrum for the presence of primary (licensed) users. In this paper, we illustrate the benefits of cooperation in cognitive radio. We show that by allowing the cognitive users operating in the same band to cooperate we can reduce the detection time and thus increase the overall agility. We first consider a two-..."
Proportionate normalized least-mean-squares adaptation in echo cancelers,D.L. Duttweiler,IEEE Transactions on Speech and Audio Processing,2000,IEEE,649,"On typical echo paths, the proportionate normalized least-mean-squares (PNLMS) adaptation algorithm converges significantly faster than the normalized least-mean-squares (NLMS) algorithm generally used in echo cancelers to date. In PNLMS adaptation, the adaptation gain at each tap position varies from position to position and is roughly proportional at each tap position to the absolute value of th..."
Robust Recovery of Signals From a Structured Union of Subspaces,Yonina C. Eldar Moshe Mishali,IEEE Transactions on Information Theory,2009,IEEE,652,"Traditional sampling theories consider the problem of reconstructing an unknown signal x from a series of samples. A prevalent assumption which often guarantees recovery from the given measurements is that x lies in a known subspace. Recently, there has been growing interest in nonlinear but structured signal models, in which x lies in a union of subspaces. In this paper, we develop a general fram..."
Physical modeling of spiral inductors on silicon,C.P. Yue S.S. Wong,IEEE Transactions on Electron Devices,2000,IEEE,652,"This paper presents a physical model for planar spiral inductors on silicon, which accounts for eddy current effect in the conductor, crossover capacitance between the spiral and center-tap, capacitance between the spiral and substrate, substrate ohmic loss, and substrate capacitance. The model has been confirmed with measured results of inductors having a wide range of layout and process paramete..."
Decentralized Charging Control of Large Populations of Plug-in Electric Vehicles,Zhongjing Ma Duncan S. Callaway Ian A. Hiskens,IEEE Transactions on Control Systems Technology,2013,IEEE,652,"This paper develops a strategy to coordinate the charging of autonomous plug-in electric vehicles (PEVs) using concepts from non-cooperative games. The foundation of the paper is a model that assumes PEVs are cost-minimizing and weakly coupled via a common electricity price. At a Nash equilibrium, each PEV reacts optimally with respect to a commonly observed charging trajectory that is the average..."
"Collective Motion, Sensor Networks, and Ocean Sampling",Naomi Ehrich Leonard Derek A. Paley Francois Lekien Rodolphe Sepulchre David M. Fratantoni Russ E. Davis,Proceedings of the IEEE,2007,IEEE,652,"This paper addresses the design of mobile sensor networks for optimal data collection. The development is strongly motivated by the application to adaptive ocean sampling for an autonomous ocean observing and prediction system. A performance metric, used to derive optimal paths for the network of mobile sensors, defines the optimal data set as one which minimizes error in a model estimate of the s..."
Quantum-mechanical modeling of electron tunneling current from the inversion layer of ultra-thin-oxide nMOSFET's,S.-H. Lo D.A. Buchanan Y. Taur W. Wang,IEEE Electron Device Letters,1997,IEEE,652,"Quantum-mechanical modeling of electron tunneling current from the quantized inversion layer of ultra-thin-oxide (&lt;40 /spl Aring/) nMOSFET's is presented, together with experimental verification. An accurate determination of the physical oxide thickness is achieved by fitting experimentally measured capacitance-versus-voltage curves to quantum-mechanically simulated capacitance-versus-voltage resu..."
Unsupervised classification using polarimetric decomposition and the complex Wishart classifier,Jong-Sen Lee M.R. Grunes T.L. Ainsworth Li-Jen Du D.L. Schuler S.R. Cloude,IEEE Transactions on Geoscience and Remote Sensing,1999,IEEE,651,"The authors propose a new method for unsupervised classification of terrain types and man-made objects using polarimetric synthetic aperture radar (SAR) data. This technique is a combination of the unsupervised classification based on polarimetric target decomposition, S.R. Cloude et al. (1997), and the maximum likelihood classifier based on the complex Wishart distribution for the polarimetric co..."
Parallel mining of association rules,R. Agrawal J.C. Shafer,IEEE Transactions on Knowledge and Data Engineering,1996,IEEE,651,"We consider the problem of mining association rules on a shared nothing multiprocessor. We present three algorithms that explore a spectrum of trade-offs between computation, communication, memory usage, synchronization, and the use of problem specific information. The best algorithm exhibits near perfect scaleup behavior, yet requires only minimal overhead compared to the current best serial algo..."
Power semiconductor device figure of merit for high-frequency applications,B.J. Baliga,IEEE Electron Device Letters,1989,IEEE,651,"A figure of merit (the Baliga high-frequency figure of merit) is derived for power semiconductor devices operating in high-frequency circuits. Using this figure of merit, it is predicted that the power losses incurred in the power device will increase as the square root of the operating frequency and approximately in proportion to the output power. By relating the device power dissipation to the i..."
New approaches to relaxed quadratic stability condition of fuzzy control systems,Euntai Kim Heejin Lee,IEEE Transactions on Fuzzy Systems,2000,IEEE,651,This paper deals with the quadratic stability conditions of fuzzy control systems that relax the existing conditions reported in the previous literatures. Two new conditions are proposed and shown to be useful in analyzing and designing fuzzy control systems. The first one employs the S-procedure to utilize information regarding the premise parts of the fuzzy systems. The next one enlarges the cla...
Input feature selection for classification problems,N. Kwak Chong-Ho Choi,IEEE Transactions on Neural Networks,2002,IEEE,651,"Feature selection plays an important role in classifying systems such as neural networks (NNs). We use a set of attributes which are relevant, irrelevant or redundant and from the viewpoint of managing a dataset which can be huge, reducing the number of attributes by selecting only the relevant ones is desirable. In doing so, higher performances with lower computational effort is expected. In this..."
State of the Art in 60-GHz Integrated Circuits and Systems for Wireless Communications,Theodore S. Rappaport James N. Murdock Felix Gutierrez,Proceedings of the IEEE,2011,IEEE,651,"This tutorial presents an overview of the technological advances in millimeter-wave (mm-wave) circuit components, antennas, and propagation that will soon allow 60-GHz transceivers to provide multigigabit per second (multi-Gb/s) wireless communication data transfers in the consumer marketplace. Our goal is to help engineers understand the convergence of communications, circuits, and antennas, as t..."
Multilevel codes: theoretical concepts and practical design rules,U. Wachsmann R.F.H. Fischer J.B. Huber,IEEE Transactions on Information Theory,1999,IEEE,651,"This paper deals with 2/sup l/-ary transmission using multilevel coding (MLC) and multistage decoding (MSD). The known result that MLC and MSD suffice to approach capacity if the rates at each level are appropriately chosen is reviewed. Using multiuser information theory, it is shown that there is a large space of rate combinations such that MLC and full maximum-likelihood decoding (MLD) can appro..."
